Ticker,Sedol,Name,Sector,Folder,Label
PNW-US,2048804,Pinnacle West Capital Corporation,North American Utilities,Pinnacle West,Pinnacle West
PAGP-US,BDGHN95,Plains GP Holdings LP Class A,Pipelines and Storage,Plains All American,Plains All American
PNM-US,2707826,"PNM Resources, Inc.",North American Utilities,PNM Resources,PNM Resources
POR-US,B125XQ6,Portland General Electric Company,North American Utilities,Portland General Electric,Portland General Electric
PPL-US,2680905,PPL Corporation,North American Utilities,PPL,PPL
PEG-US,2707677,Public Service Enterprise Group Inc,North American Utilities,PSEG,PSEG
REE-ES,BD6FXN3,Red Electrica Corp. SA,European Utilities,Red Electrica,Red Electrica
RENE-PT,B233HR5,Redes Energeticas Nacionais SA,European Utilities,REN,REN
VPK-NL,5809428,Royal Vopak NV,Pipelines and Storage,Vopak,Vopak
SBAC-US,BZ6TS23,SBA Communications Corp. Class A,Comms,Towers\North America\SBA Communications,SBA
SRE-US,2138158,Sempra Energy,North American Utilities,Sempra Energy,Sempra Energy
SESG-FR,B00ZQQ2,SES SA FDR (Class A),Comms,Satellite\SES,SES
SVT-GB,B1FH8J7,Severn Trent Plc,UK Utilities,Severn Trent,Severn Trent
SJW-US,2811932,SJW Group,North American Utilities,SJW Water,SJW Water
SRG-IT,7251470,Snam S.p.A.,European Utilities,Snam,Snam
SO-US,2829601,Southern Company,North American Utilities,Southern Company,Southern Company
SWX-US,2831888,"Southwest Gas Holdings, Inc.",North American Utilities,Southwest Gas Holdings,Southwest Gas Holdings
SKI-AU,B0T9JZ5,Spark Infrastructure Group,ANZ Utilities,Spark Infrastructure,Spark Infrastructure
SSE-GB,0790873,SSE plc,UK Utilities,SSE,SSE
SWCH-US,BF2YWK8,"Switch, Inc. Class A",Comms,Data Centres\Companies\Switch Inc,Switch
SYD-AU,B70DWB2,Sydney Airport,Airports,Sydney Airport,Sydney Airport
TGE-US,BWT3H02,Tallgrass Energy LP Class A,Pipelines and Storage,Tallgrass,Tallgrass
TRP-CA,BJMY6G0,TC Energy Corporation,Pipelines and Storage,TC Energy,TC Energy
TRN-IT,B01BN57,Terna S.p.A.,European Utilities,Terna,Terna
TERP-US,BYZ1PN3,"TerraForm Power, Inc. Class A",Renewables,Terraform Power,Terraform Power
RNW-CA,BCZLSL8,"TransAlta Renewables, Inc.",Renewables,TransAlta Renewables,TransAlta Renewables
TCL-AU,6200882,Transurban Group Ltd.,Toll Roads,Transurban,Transurban
UNP-US,2914734,Union Pacific Corporation,Rail,Union Pacific,Union Pacific
UU-GB,B39J2M4,United Utilities Group PLC,UK Utilities,United Utilities,United Utilities
UTL-US,2925037,Unitil Corporation,North American Utilities,Unitil,Unitil
VER-AT,4661607,VERBUND AG Class A,European Utilities,Verbund,Verbund
DG-FR,B1XH026,VINCI SA,Toll Roads,VINCI,VINCI
WEC-US,BYY8XK8,WEC Energy Group Inc,North American Utilities,WEC Energy,WEC Energy
9021-JP,6957995,West Japan Railway Company,Rail,West Japan Rail,West Japan Rail
WTE-CA,B8KB138,Westshore Terminals Investment Corporation,Sea Ports,Westshore,Westshore
WMB-US,2967181,"Williams Companies, Inc.",Pipelines and Storage,Williams,Williams
XEL-US,2614807,Xcel Energy Inc.,North American Utilities,Xcel Energy,Xcel Energy
